nom,prenom,email,tel,clases
Dupont,Marie,marie.dupont@example.fr,0612345678,Terminale S
Lemoine,Jean,jean.lemoine@example.fr,0623456789,Premi̬re ES
Moreau,Claire,claire.moreau@example.fr,0634567890,Seconde
Bernard,Luc,luc.bernard@example.fr,0645678901,Terminale L
Petit,Sophie,sophie.petit@example.fr,0656789012,Premi̬re S
Robert,Julien,julien.robert@example.fr,0667890123,Seconde
Richard,Camille,camille.richard@example.fr,0678901234,Terminale ES
Durand,Antoine,antoine.durand@example.fr,0689012345,Premi̬re L
Lefevre,Emma,emma.lefevre@example.fr,0690123456,Seconde
Martin,Hugo,hugo.martin@example.fr,0601234567,Terminale S

